seq_tot,tip_tot,variavel,especie_cod,especie,local_cod,localidade,exploracoes,propriedades,total,machos,femeas,m_0a12,f_0a12,m_13a24,f_13a24,m_25a36,f_25a36,m_maisde36,f_maisde36,prop_1_100,prop_101_500,prop_501_1000,prop_1001_2000,prop_acima_de_2000,cab_1_100,cab_101_500,cab_501_1000,cab_1001_2000,cab_acima_de_2000,emissao,consulta,bd
1,estado,saldo_atual,1,Bovinos,12,Acre,27854,25687,4850731,1803627,3047104,759785,848331,113938,124863,507874,591643,422030,1482267,14463,9579,993,423,229,623470,2023383,674909,575646,953323,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200013,Acrelândia,1564,1453,257740,76262,181478,35684,50127,4936,9179,19810,35092,15832,87080,713,647,73,13,7,34204,138577,48338,16246,20375,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200054,Assis Brasil,644,581,78581,21263,57318,11393,16670,1297,2845,4627,10469,3946,27334,322,242,14,3,0,15327,50405,9201,3648,0,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200104,Brasiléia,2406,2015,356767,117516,239251,54311,67114,4388,7980,36661,48251,22156,115906,918,986,90,14,7,45235,202406,59659,18349,31118,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200138,Bujari,1273,1135,359106,158644,200462,63027,59238,11964,8248,55984,47260,27669,85716,646,390,36,31,32,25148,80029,24922,47019,181988,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200179,Capixaba,1226,1046,215931,76332,139599,31518,36784,4450,4393,18138,27074,22226,71348,695,278,28,27,18,21937,59292,18831,36825,79046,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200203,Cruzeiro do Sul,834,805,60547,24376,36171,8961,8701,3532,2709,5877,6660,6006,18101,669,118,11,6,1,20812,21517,7605,8087,2526,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200252,Epitaciolândia,1220,1121,176380,69050,107330,27351,30119,4132,4569,21821,19564,15746,53078,653,424,31,8,5,31113,89051,21873,10447,23896,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200302,Feijó,2084,2022,261228,98213,163015,44553,43585,5803,6874,19826,32244,28031,80312,1273,661,69,17,2,52841,133051,47717,23356,4263,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200328,Jordão,225,222,16111,6020,10091,2662,2680,505,504,1458,1800,1395,5107,170,51,0,1,0,6120,8521,0,1470,0,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200336,Mâncio Lima,479,462,28555,10701,17854,4696,4745,535,913,2642,3122,2828,9074,402,54,5,1,0,13824,10107,3366,1258,0,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200344,Manoel Urbano,918,855,125055,42120,82935,20872,23741,2128,3035,10500,17103,8620,39056,501,311,27,15,1,21940,65574,16993,18328,2220,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200351,Marechal Thaumaturgo,391,391,17665,6383,11282,2227,3160,559,743,935,1664,2662,5715,364,26,1,0,0,11935,4926,804,0,0,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200385,Plácido de Castro,1400,1284,319835,120148,199687,49799,55537,10419,10143,32955,33866,26975,100141,583,563,80,40,18,26844,122489,56013,54294,60195,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200807,Porto Acre,1689,1537,375545,132971,242574,56131,68073,8245,9554,39204,46697,29391,118250,708,683,88,34,24,34264,147522,60434,45673,87652,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200393,Porto Walter,246,246,21081,8396,12685,3191,3276,410,476,2307,2431,2488,6502,189,55,0,2,0,7483,10904,0,2694,0,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200401,Rio Branco,2914,2723,645590,263392,382198,95941,107544,18218,16381,81870,75271,67363,183002,1373,1139,114,55,42,61173,252546,76787,75979,179105,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200427,Rodrigues Alves,351,344,31065,12207,18858,4689,4582,992,1489,2779,2534,3747,10253,271,66,5,2,0,10007,14947,3467,2644,0,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200435,Santa Rosa do Purus,115,113,12778,3978,8800,2395,2601,154,211,895,1464,534,4524,74,35,4,0,0,3084,7313,2381,0,0,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200500,Sena Madureira,2775,2563,539555,188149,351406,91422,102435,9809,13030,41576,67791,45342,168150,1210,1131,143,65,14,59710,242247,98197,85473,53928,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200450,Senador Guiomard,1454,1318,374854,158513,216341,59594,60662,12322,9343,53887,40786,32710,105550,599,571,81,39,28,25807,128972,55806,53448,110821,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200609,Tarauacá,1793,1752,249082,89755,159327,41196,39928,4461,6307,17391,29751,26707,83341,1131,542,44,25,10,47816,107891,30285,34674,28416,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
2,municipio,saldo_atual,1,Bovinos,1200708,Xapuri,1853,1699,327680,119238,208442,48172,57029,4679,5937,36731,40749,29656,104727,999,606,49,25,20,46846,125096,32230,35734,87774,02/04/2024 09:24,saldo_atual_uf_mun_prop_bov_vw,sisdaf_2024_01_01_06
